City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,3.0707,172.7902,83.3,70,77,11.72
1,Giarmata,RO,45.8383,21.3108,49.95,93,0,1.14
2,Moba,CN,33.2288,105.0179,59.22,95,100,4.21
3,Albany,US,42.6001,-73.9662,64.63,86,100,5.23
4,Port Said,EG,31.2565,32.2841,80.58,83,0,11.5
5,Thompson,CA,55.7435,-97.8558,42.96,75,75,2.3
6,Ribeira Grande,PT,38.5167,-28.7,71.15,79,18,15.61
7,Arraial Do Cabo,BR,-22.9661,-42.0278,70.2,83,100,28.59
8,Yulara,AU,-25.2406,130.9889,62.44,27,0,19.57
9,Punta Arenas,CL,-53.15,-70.9167,51.91,71,0,11.5
10,Chokurdakh,RU,70.6333,147.9167,36.61,56,94,8.93
11,Yellowknife,CA,62.456,-114.3525,50.52,76,90,12.66
12,Fare,PF,-16.7,-151.0167,78.64,70,0,6.31
13,Hermanus,ZA,-34.4187,19.2345,51.91,84,0,12.44
14,Qaanaaq,GL,77.484,-69.3632,9.66,73,0,7.85
15,Ushuaia,AR,-54.8,-68.3,44.26,81,75,5.75
16,Shahr-E Babak,IR,30.1165,55.1186,68.05,24,83,4.12
17,New Norfolk,AU,-42.7826,147.0587,70.75,54,9,8.01
18,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,41,5.99
19,Victoria,HK,22.2855,114.1577,88.97,76,60,1.01
20,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,70,90,16.11
21,Barrow,US,71.2906,-156.7887,30.22,80,75,21.85
22,Skjervoy,NO,70.0311,20.9714,45.75,74,100,20.51
23,Sobolevo,RU,54.4299,31.8996,40.62,98,100,9.01
24,Coos Bay,US,43.3665,-124.2179,71.58,37,1,3.44
25,Lavrentiya,RU,65.5833,-171.0,35.01,61,99,13.13
26,Kloulklubed,PW,7.0419,134.2556,84.7,68,57,6.2
27,Zhigansk,RU,66.7697,123.3711,44.31,59,100,19.28
28,Longyearbyen,SJ,78.2186,15.6401,40.84,70,20,12.66
29,Luderitz,NA,-26.6481,15.1594,66.11,37,5,8.39
30,Alofi,NU,-19.0595,-169.9187,76.89,88,9,9.22
31,Saint-Philippe,RE,-21.3585,55.7679,65.75,76,41,9.8
32,Castro,BR,-24.7911,-50.0119,60.08,92,99,9.78
33,Laguna,US,38.421,-121.4238,95.5,21,1,3.44
34,Sawakin,SD,19.1059,37.3321,85.28,74,16,6.76
35,Lorengau,PG,-2.0226,147.2712,84.85,68,100,7.18
36,Kodiak,US,57.79,-152.4072,51.31,25,1,16.11
37,Cache Creek,CA,50.8101,-121.3246,63.18,72,100,2.68
38,Bluff,NZ,-46.6,168.3333,53.8,63,13,19.86
39,Sri Aman,MY,1.2376,111.4621,80.65,94,20,0.0
40,Busselton,AU,-33.65,115.3333,69.04,57,0,3.49
41,Hilo,US,19.7297,-155.09,77.79,78,90,6.91
42,Hobart,AU,-42.8794,147.3294,71.11,50,0,5.99
43,Avarua,CK,-21.2078,-159.775,77.05,73,75,6.91
44,Cherskiy,RU,68.75,161.3,35.2,43,100,8.86
45,Sitka,US,57.0531,-135.33,55.29,71,75,17.27
46,Cambrai,FR,50.1667,3.4167,49.1,77,99,3.15
47,Namtsy,RU,62.7161,129.6658,48.31,53,56,10.04
48,Khatanga,RU,71.9667,102.5,34.61,84,100,15.19
49,Kavieng,PG,-2.5744,150.7967,84.34,71,84,10.76
50,Union,US,40.6334,-74.2663,73.58,91,90,8.05
51,Cidreira,BR,-30.1811,-50.2056,59.43,66,100,9.37
52,Hami,CN,42.8,93.45,70.56,24,100,3.49
53,Bredasdorp,ZA,-34.5322,20.0403,42.12,93,0,3.44
54,Upernavik,GL,72.7868,-56.1549,20.93,53,100,6.2
55,Kameyama,JP,34.85,136.45,76.06,89,67,5.61
56,Morehead,US,37.2711,-87.1764,72.0,93,90,3.44
57,Buchanan,LR,5.8808,-10.0467,76.66,89,96,5.1
58,Atuona,PF,-9.8,-139.0333,77.83,74,8,19.91
59,Mount Pleasant,US,32.7941,-79.8626,78.98,94,75,5.01
60,Rikitea,PF,-23.1203,-134.9692,74.01,71,0,14.12
61,Qinzhou,CN,21.95,108.6167,85.3,71,66,5.06
62,Lompoc,US,34.6391,-120.4579,78.94,84,1,9.22
63,Isangel,VU,-19.55,169.2667,87.91,58,75,9.22
64,Belyy Yar,RU,53.6039,91.3903,42.69,65,0,15.66
65,Vaini,TO,-21.2,-175.2,78.96,78,20,9.22
66,Monterey,US,36.2505,-121.2516,76.1,48,0,6.38
67,Chuy,UY,-33.6971,-53.4616,54.79,74,88,7.7
68,Doha,QA,25.2867,51.5333,84.18,59,0,5.75
69,Marawi,PH,7.9986,124.2928,72.64,78,98,1.5
70,Civitavecchia,IT,42.0933,11.7967,68.83,85,99,6.6
71,Boende,CD,-0.2167,20.8667,68.77,97,100,2.66
72,Hecun,CN,36.5333,114.1111,75.18,57,49,4.47
73,Muscat,OM,23.6139,58.5922,89.62,61,12,2.1
74,Boa Vista,BR,2.8197,-60.6733,80.58,69,75,5.75
75,Cape Town,ZA,-33.9258,18.4232,52.12,80,0,1.01
76,East London,ZA,-33.0153,27.9116,56.53,67,49,6.71
77,Goderich,CA,43.7501,-81.7165,63.03,94,100,11.5
78,Coahuayana,MX,18.7333,-103.6833,85.48,90,24,1.45
79,Kahului,US,20.8947,-156.47,84.22,52,40,20.71
80,Ilulissat,GL,69.2167,-51.1,28.42,93,75,0.0
81,Carnarvon,AU,-24.8667,113.6333,78.87,19,1,5.75
82,Klaksvik,FO,62.2266,-6.589,50.92,78,86,36.89
83,Yeppoon,AU,-23.1333,150.7333,71.38,32,0,11.72
84,Port Blair,IN,11.6667,92.75,80.42,81,100,15.17
85,Acari,PE,-15.4311,-74.6158,68.27,66,100,4.14
86,Ust-Nera,RU,64.5667,143.2,44.24,46,95,3.42
87,Vao,NC,-22.6667,167.4833,72.21,77,9,7.2
88,Noshiro,JP,40.2039,140.0242,76.14,82,96,7.16
89,Luang Prabang,LA,19.8856,102.1347,76.96,88,75,0.0
90,Bethel,US,41.3712,-73.414,70.11,89,75,5.75
91,Avera,US,33.194,-82.5271,78.67,92,21,3.65
92,Lagoa,PT,39.05,-27.9833,69.76,80,0,14.2
93,Banda Aceh,ID,5.5577,95.3222,81.95,69,100,12.95
94,Iquique,CL,-20.2208,-70.1431,60.84,75,55,2.37
95,Port Alfred,ZA,-33.5906,26.891,55.44,75,1,6.22
96,Ponta Do Sol,PT,32.6667,-17.1,72.23,70,100,5.73
97,Zarubino,RU,42.63,131.0922,69.03,80,42,10.76
98,Yarmouth,US,41.7057,-70.2286,70.45,89,90,0.0
99,Oussouye,SN,12.485,-16.5469,78.98,88,53,6.55
100,Kapaa,US,22.0752,-159.319,84.18,72,75,5.01
101,Newport,GB,51.5877,-2.9984,57.31,91,100,4.81
102,Tambilil,PH,5.9622,124.6697,85.1,68,24,4.18
103,Raudeberg,NO,61.9875,5.1352,56.86,85,61,15.01
104,Clyde River,CA,70.4692,-68.5914,30.43,93,90,3.44
105,Tonj,SS,7.2737,28.6822,67.82,99,70,2.86
106,Mersing,MY,2.4312,103.8405,76.91,94,40,2.3
107,Nikolskoye,RU,59.7035,30.7861,43.02,86,100,5.37
108,Hasaki,JP,35.7333,140.8333,79.09,82,71,12.19
109,Pisco,PE,-13.7,-76.2167,62.65,82,0,12.66
110,Iqaluit,CA,63.7506,-68.5145,33.53,86,90,6.91
111,Penzance,GB,50.1186,-5.5371,56.77,87,63,3.67
112,Codrington,AU,-38.2667,141.9667,58.37,72,97,13.29
113,Port Hardy,CA,50.6996,-127.4199,55.58,94,90,9.22
114,Anekal,IN,12.7,77.7,71.11,90,86,10.56
115,Faanui,PF,-16.4833,-151.75,78.87,70,5,4.38
116,Itaqui,BR,-29.1253,-56.5531,54.75,70,100,14.18
117,Neryungri,RU,56.6709,124.6491,54.91,65,62,9.75
118,Thinadhoo,MV,0.5333,72.9333,83.53,75,85,16.06
119,Tasiilaq,GL,65.6145,-37.6368,32.16,65,78,8.57
120,Verkhoyansk,RU,67.5447,133.385,43.56,59,99,2.08
121,Binga,ZW,-17.6203,27.3414,68.52,34,31,1.72
122,Predivinsk,RU,57.0669,93.4378,36.12,88,100,5.21
123,Porto Santo,PT,33.072,-16.3415,71.98,68,75,12.66
124,Flin Flon,CA,54.7682,-101.865,50.4,78,100,9.33
125,Puri,IN,19.8,85.85,79.32,77,95,6.17
126,Sira,IN,13.7453,76.9092,71.76,83,99,11.95
127,Bilibino,RU,68.0546,166.4372,27.79,58,100,1.9
128,Beloha,MG,-25.1667,45.05,65.16,95,92,3.91
129,Beckley,US,37.7782,-81.1882,63.07,98,90,3.0
130,El Paso,US,31.8001,-106.2005,78.46,27,20,13.8
131,Saskylakh,RU,71.9167,114.0833,34.57,94,100,9.01
132,Mataura,NZ,-46.1927,168.8643,53.47,43,9,4.56
133,Zyryanka,RU,65.75,150.85,41.0,46,100,3.13
134,Menongue,AO,-14.6585,17.691,65.61,26,66,0.74
135,Souillac,MU,-20.5167,57.5167,70.18,64,40,5.75
136,Waddan,LY,29.1614,16.139,83.75,16,0,7.31
137,Pareora,NZ,-44.4871,171.2132,53.62,69,68,11.52
138,Aquiraz,BR,-3.9014,-38.3911,80.69,85,33,10.47
139,Inirida,CO,3.8653,-67.9239,73.51,95,98,2.62
140,Husavik,IS,66.0449,-17.3389,40.91,91,100,32.12
141,Villa Carlos Paz,AR,-31.4241,-64.4978,58.39,52,88,1.99
142,Tateyama,JP,34.9833,139.8667,77.02,84,100,9.55
143,Chicama,PE,-7.8447,-79.1469,59.54,81,74,4.83
144,Vilyuysk,RU,63.7553,121.6247,45.75,59,100,10.09
145,Mapimi,MX,25.8167,-103.85,69.21,69,83,11.48
146,Okahandja,NA,-21.9833,16.9167,64.71,20,9,5.77
147,La Mana,EC,-0.9333,-79.2167,81.9,87,86,2.37
148,Minusinsk,RU,53.7103,91.6875,42.82,62,100,13.96
149,Airai,TL,-8.9266,125.4092,66.61,62,96,5.91
150,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,79,90,9.22
151,Vestmannaeyjar,IS,63.4427,-20.2734,44.83,70,100,23.69
152,Santo Angelo,BR,-28.2992,-54.2631,53.92,76,100,15.88
153,Gawler,AU,-34.6,138.7333,60.48,86,77,8.93
154,Juegang,CN,32.3174,121.1855,81.36,70,0,5.7
155,Zhireken,RU,52.8249,117.3076,48.38,93,100,4.23
156,Boguchany,RU,58.3814,97.4531,38.12,87,100,9.71
157,Mahebourg,MU,-20.4081,57.7,70.09,64,40,5.75
158,Dalvik,IS,65.9702,-18.5286,40.93,92,100,11.54
159,Novoagansk,RU,61.9449,76.6625,32.74,86,96,8.95
160,Marfino,RU,55.7028,37.3822,43.05,93,90,6.71
161,Mar Del Plata,AR,-38.0023,-57.5575,46.42,93,0,4.61
162,Harper,LR,4.375,-7.7169,76.68,88,99,7.56
163,Mitchell,US,43.7094,-98.0298,55.38,57,1,3.44
164,Dikson,RU,73.5069,80.5464,34.21,73,100,2.75
165,Gejiu,CN,23.306,103.1635,62.49,76,47,3.29
166,Charters Towers,AU,-20.1,146.2667,70.0,13,25,16.33
167,Esperance,AU,-33.8667,121.9,69.64,39,0,11.81
168,Abu Dhabi,AE,24.4667,54.3667,89.71,58,0,5.75
169,Maragogi,BR,-9.0122,-35.2225,73.9,84,60,4.61
170,Magadan,RU,59.5667,150.8,48.2,73,100,9.13
171,Nicoya,CR,10.1483,-85.452,76.55,89,100,1.97
172,Norilsk,RU,69.3535,88.2027,32.99,81,25,3.74
173,Salalah,OM,17.0151,54.0924,80.69,83,75,5.75
174,Norman Wells,CA,65.282,-126.8329,42.84,75,75,10.36
175,Santander,ES,43.4647,-3.8044,61.61,95,75,3.0
176,Vanavara,RU,60.34,102.2797,38.62,79,53,7.81
177,Cap-Aux-Meules,CA,47.3821,-61.8597,62.65,63,20,14.97
178,Kunming,CN,25.0389,102.7183,62.53,82,20,8.95
179,Gorontalo,ID,0.5412,123.0595,78.87,86,96,1.48
180,Iberia,US,29.9502,-91.7507,80.67,94,1,4.61
181,Vila Velha,BR,-20.3297,-40.2925,76.95,78,0,18.41
182,Ituporanga,BR,-27.4144,-49.6025,60.37,86,86,3.67
183,Bahia Honda,CU,22.9036,-83.1592,79.52,88,94,8.66
184,Kaduna,NG,10.5222,7.4383,70.09,95,100,4.36
185,Hithadhoo,MV,-0.6,73.0833,83.37,76,94,16.89
186,Severo-Kurilsk,RU,50.6789,156.125,52.2,72,57,13.11
187,Hohhot,CN,40.8106,111.6522,62.89,55,0,4.47
188,Cabo San Lucas,MX,22.8909,-109.9124,85.6,79,20,1.99
189,Jamestown,US,42.097,-79.2353,68.07,87,90,5.01
190,Benghazi,LY,32.1167,20.0667,83.3,42,0,8.01
191,Gizo,SB,-8.103,156.8419,83.98,69,7,2.37
192,Byron Bay,AU,-28.65,153.6167,68.11,52,71,20.07
193,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.59,78,58,27.29
194,Haines Junction,CA,60.7522,-137.5108,35.55,75,100,8.05
195,Hualmay,PE,-11.0964,-77.6139,62.29,86,42,8.72
196,Beyneu,KZ,45.3167,55.2,59.61,48,100,16.46
197,Freeport,US,40.6576,-73.5832,73.38,84,90,5.99
198,Onufriyivka,UA,48.9072,33.4487,45.07,86,100,11.18
199,Ajdabiya,LY,30.7554,20.2263,82.0,28,0,9.62
200,Portland,US,45.5234,-122.6762,84.79,40,20,1.01
201,Qujing,CN,25.4833,103.7833,66.56,74,97,5.99
202,Margate,GB,51.3813,1.3862,57.96,86,100,1.01
203,Aranos,NA,-24.1333,19.1167,54.54,18,4,9.46
204,Wamba,NG,8.9333,8.6,70.43,98,100,2.21
205,Bara,NG,10.3744,10.7288,73.04,96,100,8.14
206,Monterrey,MX,25.6667,-100.3167,90.57,43,94,3.69
207,Mumford,GH,5.2618,-0.759,75.9,92,100,8.75
208,San Angelo,US,31.4638,-100.437,77.22,32,1,1.99
209,Westport,US,41.1415,-73.3579,73.15,89,90,8.99
210,Gobabis,NA,-22.45,18.9667,56.52,18,14,7.2
211,Birin,NP,26.8865,88.0718,65.14,82,44,1.39
212,Pijijiapan,MX,15.7011,-93.23,79.21,87,86,2.62
213,Slave Lake,CA,55.2834,-114.769,57.18,77,1,3.44
214,Ancud,CL,-41.8697,-73.8203,44.42,89,0,1.25
215,Maniitsoq,GL,65.4167,-52.9,31.68,63,6,10.04
216,San Jose,US,37.3394,-121.895,89.96,36,40,1.01
217,Lusambo,CD,-4.9667,23.45,74.64,65,98,0.29
218,Brownsville,US,25.9018,-97.4975,84.31,88,1,1.01
219,Broome,US,42.2506,-75.833,66.9,79,40,1.01
220,Japura,ID,-0.3167,102.35,82.51,70,36,3.65
221,Mildura,AU,-34.2,142.15,62.08,59,75,6.91
222,Berlevag,NO,70.8578,29.0864,39.99,76,8,30.27
223,Lumberton,US,34.6182,-79.0086,75.94,97,100,6.91
224,Teguise,ES,29.0605,-13.564,68.22,68,40,8.05
225,Khromtau,KZ,50.2503,58.4347,41.25,50,87,5.12
226,Honiara,SB,-9.4333,159.95,85.55,70,21,4.99
227,Ghorawal,IN,24.7667,82.7833,78.08,84,13,6.42
228,Nha Trang,VN,12.25,109.1833,87.8,76,100,3.33
229,Guerrero Negro,MX,27.9769,-114.0611,75.7,65,99,11.63
230,Saint George,US,37.1041,-113.5841,88.39,9,1,6.91
231,Myanaung,MM,18.2833,95.3167,80.26,85,100,5.1
232,Hambantota,LK,6.1241,81.1185,77.34,100,20,8.05
233,Kysyl-Syr,RU,63.8986,122.7617,45.7,56,98,11.72
234,Tuatapere,NZ,-46.1333,167.6833,53.82,52,14,5.23
235,Waitati,NZ,-45.75,170.5667,57.79,57,5,8.37
236,Cooma,AU,-36.2333,149.1333,51.57,66,75,12.66
237,Geraldton,AU,-28.7667,114.6,75.61,15,0,17.27
238,Georgetown,MY,5.4112,100.3354,84.88,76,20,3.44
239,Pimenta Bueno,BR,-11.6725,-61.1936,83.79,40,30,1.83
240,Savalou,BJ,7.9281,1.9756,73.6,97,100,3.67
241,Ranong,TH,9.9658,98.6348,75.13,94,100,12.62
242,Sayat,TM,38.7839,63.8803,53.47,16,0,9.37
243,Sao Filipe,CV,14.8961,-24.4956,79.3,80,7,9.01
244,Celestun,MX,20.8667,-90.4,81.63,81,65,15.46
245,Namibe,AO,-15.1961,12.1522,61.59,90,4,4.36
246,Manzhouli,CN,49.6,117.4333,58.73,61,15,5.06
247,Bongandanga,CD,1.5,21.05,69.53,99,97,1.99
248,Leningradskiy,RU,69.3833,178.4167,27.55,85,100,11.65
249,Khani,GE,41.9563,42.9566,56.77,95,100,0.65
250,Saint-Augustin,CA,51.226,-58.6502,54.18,84,93,12.86
251,Sombrerete,MX,23.6333,-103.65,60.75,57,74,4.65
252,Gull Lake,CA,50.1001,-108.4847,62.96,32,0,4.45
253,Richards Bay,ZA,-28.783,32.0377,62.83,67,100,7.67
254,Soubre,CI,5.7856,-6.6083,72.55,99,100,2.86
255,Qaqortoq,GL,60.7167,-46.0333,36.1,88,100,1.88
256,Te Anau,NZ,-45.4167,167.7167,52.21,59,9,4.25
257,Yagodnoye,RU,62.55,149.6667,35.1,84,72,1.43
258,Simao,CN,22.7886,100.9748,71.64,81,96,1.66
259,Mbandaka,CD,0.0487,18.2603,69.08,99,100,2.17
260,Raymondville,US,26.4815,-97.7831,86.38,67,60,10.96
261,Xingyi,CN,24.1877,102.817,65.73,84,85,2.89
262,Rock Sound,BS,24.9,-76.2,83.62,72,23,11.9
263,Muros,ES,42.7762,-9.0603,61.99,80,35,16.37
264,Palaikastron,GR,35.2,26.25,75.43,71,3,10.0
265,Asau,RO,46.4333,26.4,42.96,87,100,4.45
266,Garden City,US,42.3256,-83.331,68.25,94,90,12.66
267,Bengkulu,ID,-3.8004,102.2655,80.83,75,87,3.31
268,Nantucket,US,41.2835,-70.0995,69.1,88,20,8.05
269,Torit,SS,4.4133,32.5678,68.47,96,100,1.25
270,Dongsheng,CN,39.8161,109.9776,70.56,23,5,10.87
271,Cozumel,MX,20.5083,-86.9458,84.0,80,55,5.99
272,Provideniya,RU,64.3833,-173.3,33.91,60,40,6.71
273,Astoria,US,46.1879,-123.8313,73.29,46,1,6.91
274,Fairbanks,US,64.8378,-147.7164,38.61,57,75,4.61
275,Tiksi,RU,71.6872,128.8694,35.96,71,100,3.04
276,Acapulco,MX,16.8634,-99.8901,84.02,79,75,6.91
277,Wodonga,AU,-36.1167,146.8833,62.01,72,75,4.0
278,Okha,RU,53.5739,142.9478,54.41,60,45,11.18
279,Hirara,JP,24.8,125.2833,88.07,74,40,5.75
280,Nalut,LY,30.3333,10.85,78.82,18,0,12.82
281,Mount Isa,AU,-20.7333,139.5,69.57,11,84,16.11
282,Monduli,TZ,-3.3,36.45,57.51,92,44,3.98
283,Bressanone,IT,46.715,11.656,53.19,87,38,2.26
284,Kang,BW,-23.6752,22.7876,56.89,12,0,8.3
285,Muroto,JP,33.2833,134.15,80.64,79,81,8.05
286,Semporna,MY,4.4818,118.6112,82.6,87,100,4.88
287,Tres Lagoas,BR,-20.7511,-51.6783,86.22,24,7,13.22
288,Sorong,ID,-0.8833,131.25,82.27,78,100,5.41
